country;iso;concept;conceptAbbr;year;Value
Austria;AUT;#BBP;BBP;2005;0.637248912
Azerbaijan;AZE;#BBP;BBP;2005;0.589447206
Albania;ALB;#BBP;BBP;2005;0.5845559
Belgium;BEL;#BBP;BBP;2005;0.720469725
Belarus;BLR;#BBP;BBP;2005;0.554889557
Bulgaria;BGR;#BBP;BBP;2005;0.529855753
Bosnia and Herzegovina;BIH;#BBP;BBP;2005;0.579647878
United Kingdom;GBR;#BBP;BBP;2005;0.708118581
Armenia;ARM;#BBP;BBP;2005;0.564832748
Greece;GRC;#BBP;BBP;2005;0.728523708
Georgia;GEO;#BBP;BBP;2005;0.49962689
Denmark;DNK;#BBP;BBP;2005;0.646524292
Estonia;EST;#BBP;BBP;2005;0.400107294
Ireland;IRL;#BBP;BBP;2005;0.632572115
Iceland;ISL;#BBP;BBP;2005;0.5
Spain;ESP;#BBP;BBP;2005;0.736430528
Italy;ITA;#BBP;BBP;2005;0.699708759
Cyprus;CYP;#BBP;BBP;2005;0.5
Latvia;LVA;#BBP;BBP;2005;0.362061379
Lithuania;LTU;#BBP;BBP;2005;0.484499648
Luxembourg;LUX;#BBP;BBP;2005;0.5
Moldova, Republic of;MDA;#BBP;BBP;2005;0.534878643
Netherlands;NLD;#BBP;BBP;2005;0.673674937
Germany;DEU;#BBP;BBP;2005;0.646524292
Norway;NOR;#BBP;BBP;2005;0.574724056
Poland;POL;#BBP;BBP;2005;0.627870233
Portugal;PRT;#BBP;BBP;2005;0.686839013
Russian Federation;RUS;#BBP;BBP;2005;0.321254008
Romania;ROU;#BBP;BBP;2005;0.564832748
Slovakia;SVK;#BBP;BBP;2005;0.559867157
Slovenia;SVN;#BBP;BBP;2005;0.646524292
Turkey;TUR;#BBP;BBP;2005;0.589447206
Hungary;HUN;#BBP;BBP;2005;0.569785365
Ukraine;UKR;#BBP;BBP;2005;0.549900919
Finland;FIN;#BBP;BBP;2005;0.236544811
France;FRA;#BBP;BBP;2005;0.627870233
Croatia;HRV;#BBP;BBP;2005;0.5845559
Czech Republic;CZE;#BBP;BBP;2005;0.660231236
Switzerland;CHE;#BBP;BBP;2005;0.708118581
Sweden;SWE;#BBP;BBP;2005;0.299664443
Austria;AUT;#BBP;BBP;2006;0.637248912
Azerbaijan;AZE;#BBP;BBP;2006;0.589447206
Albania;ALB;#BBP;BBP;2006;0.5845559
Belgium;BEL;#BBP;BBP;2006;0.720469725
Belarus;BLR;#BBP;BBP;2006;0.554889557
Bulgaria;BGR;#BBP;BBP;2006;0.529855753
Bosnia and Herzegovina;BIH;#BBP;BBP;2006;0.579647878
United Kingdom;GBR;#BBP;BBP;2006;0.708118581
Armenia;ARM;#BBP;BBP;2006;0.564832748
Greece;GRC;#BBP;BBP;2006;0.728523708
Georgia;GEO;#BBP;BBP;2006;0.49962689
Denmark;DNK;#BBP;BBP;2006;0.646524292
Estonia;EST;#BBP;BBP;2006;0.400107294
Ireland;IRL;#BBP;BBP;2006;0.632572115
Iceland;ISL;#BBP;BBP;2006;0.5
Spain;ESP;#BBP;BBP;2006;0.736430528
Italy;ITA;#BBP;BBP;2006;0.699708759
Cyprus;CYP;#BBP;BBP;2006;0.5
Latvia;LVA;#BBP;BBP;2006;0.362061379
Lithuania;LTU;#BBP;BBP;2006;0.484499648
Luxembourg;LUX;#BBP;BBP;2006;0.5
Moldova, Republic of;MDA;#BBP;BBP;2006;0.534878643
Netherlands;NLD;#BBP;BBP;2006;0.673674937
Germany;DEU;#BBP;BBP;2006;0.646524292
Norway;NOR;#BBP;BBP;2006;0.574724056
Poland;POL;#BBP;BBP;2006;0.627870233
Portugal;PRT;#BBP;BBP;2006;0.686839013
Russian Federation;RUS;#BBP;BBP;2006;0.321254008
Romania;ROU;#BBP;BBP;2006;0.564832748
Slovakia;SVK;#BBP;BBP;2006;0.559867157
Slovenia;SVN;#BBP;BBP;2006;0.646524292
Turkey;TUR;#BBP;BBP;2006;0.589447206
Hungary;HUN;#BBP;BBP;2006;0.569785365
Ukraine;UKR;#BBP;BBP;2006;0.549900919
Finland;FIN;#BBP;BBP;2006;0.236544811
France;FRA;#BBP;BBP;2006;0.627870233
Croatia;HRV;#BBP;BBP;2006;0.5845559
Czech Republic;CZE;#BBP;BBP;2006;0.660231236
Switzerland;CHE;#BBP;BBP;2006;0.708118581
Sweden;SWE;#BBP;BBP;2006;0.299664443
Austria;AUT;#BBP;BBP;2007;0.631965907
Azerbaijan;AZE;#BBP;BBP;2007;0.589700327
Albania;ALB;#BBP;BBP;2007;0.586374795
Belgium;BEL;#BBP;BBP;2007;0.814967641
Belarus;BLR;#BBP;BBP;2007;0.560633349
Bulgaria;BGR;#BBP;BBP;2007;0.629967429
Bosnia and Herzegovina;BIH;#BBP;BBP;2007;0.591757251
United Kingdom;GBR;#BBP;BBP;2007;0.701918777
Armenia;ARM;#BBP;BBP;2007;0.586375462
Greece;GRC;#BBP;BBP;2007;0.711008128
Georgia;GEO;#BBP;BBP;2007;0.565556619
Denmark;DNK;#BBP;BBP;2007;0.695858069
Estonia;EST;#BBP;BBP;2007;0.480658198
Ireland;IRL;#BBP;BBP;2007;0.669989398
Iceland;ISL;#BBP;BBP;2007;0.5
Spain;ESP;#BBP;BBP;2007;0.712541251
Italy;ITA;#BBP;BBP;2007;0.71420723
Cyprus;CYP;#BBP;BBP;2007;0.5
Latvia;LVA;#BBP;BBP;2007;0.462889572
Lithuania;LTU;#BBP;BBP;2007;0.55025964
